品名,單位,重量,熱量
和風原味雞堡,,146克,356.3
油炸馬鈴薯片,,100克,612
和風海藻沙拉,,138克,51.1
油炸脫水甘薯,1碟,,104.2
炒紅莧菜,,105克,66.2
炒韭菜,,105克,71
炒韭菜花,,105克,77.2
和風酥炸豆腐排,,33.8克,71
炒香菇筊筍肉絲,,108.5克,103.3
非洲黑鯽魚,,100克,77
炒紅鳳菜,,85克,64.2
乳香燉南瓜,,113.7克,112
青香蕉蘋果,,100克,49
拌風螺,,79.8克,130
東風螺,,100克,106
和風醬,,45克,55
芥茉醬,1個,,4.6
油炸雞土從,,100克,635
河蚌,,100克,54
果凍,1個,,160.2
芡粉,,100克,346
油茶,,100克,94
板栗,,100克,185
松茸,,100克,112
花粉,1個,,18
花茶,,100克,281
果凍,,100克,70
果凍,,100克,71
果凍,,100克,100
果凍,,100克,109
京酒,,100克,221
咖哩牛肉,,204克,116.1
咖哩牛肉丸,,110克,153.5
咖哩牛肉乾,,100克,326
咖哩牛肉焗飯,,240克,223.6
金桔牛蒡汁,,260克,205.4
炒海瓜子,,68克,100.2
青海羊肉炒麵片,,422克,654.1
金針肉捲,,318克,279.9
金茸肉絲湯,,71.4克,55
咖哩肉潤餅捲,,102.5克,168.9
花紋舌頭,,100克,83
抹茶和風巴巴露亞,,86.8克,131.1
帕能咖哩牛肉麵,,108克,99
抹茶厚片,,76克,188.5
咖哩洋芋,,71.6克,85.9
拌海苔芽,,154克,78.5
油茶籽油,,100克,898
金烏降壓茶,,352克,140.8
青草茶,1缶,,60
咖哩海鮮丼,,267克,299.3
咖哩烤鮮蝦,,53.3克,61.2
拌海帶三絲,,78.5克,75.3
咖哩蛋包飯,,563.2克,760.3
河粉涼捲,,103克,296.6
金剛涼麵-香辣麻醬,1份,,601.3
拒馬菜,,100克,35
泡海椒,,100克,32
咖哩酥,,113.8克,363.2
金針菜,1碟,,32
花案菜,,100克,20
金針湯,,30克,10
金針菇[智力菇],,100克,26
金針菜[黃花菜],,100克,199
金針菜,,100克,199
金針菇炒雞蛋,,216克,308
金針菇罐頭,1碟,,12
拌海蜇皮,,160克,300.8
咖哩椰汁燜冬粉,,499.2克,374.4
咖哩鳳梨炒飯,,337克,546
咖哩豬肉燴飯,,330克,475.3
炒烏龍,,413克,867.4
金針燴魚,,90克,106
咖哩燴飯,,268.3克,386.3
咖哩燴飯便當,,426.4克,874.2
咖哩鮮蝦焗通心麵,,210.6克,411.6
咖哩雞,,160克,194.7
咖哩雞肉飯,,290克,484.5
咖哩雞肉燴飯,,370克,667.5
咖哩雞焗飯,,470克,455.9
咖哩雞飯,,596克,729.3
炒高麗菜,,105克,69
炒高麗菜苗,,55克,101
炒高麗菜培根,,62.5克,70.8
果料麵包,,100克,278
咖哩蘿蔔,,110克,46
青魚,,100克,118
刺蛄,,100克,77
刺梨,,100克,55
炒蛋,,64克,95
泥蚶,,100克,71
泥蚶[血蚶，珠蚶],,100克,71
青魚[青皮魚，青鱗魚，青混],,100克,118
刺蛄[刺蛄],,100克,77
刺梨[茨梨，木梨子],,100克,55
咖啡大福,,50.7克,183.6
咖啡牛奶,,490克,217.6
芝麻木瓜牛奶,,509.1克,290.2
炒通心粉,,145克,271
炒甜不辣,,40克,114.6
炒通心麵,,210克,342.9
芝麻包,1個,,280
金莎巧克力,,45克,262.2
亞側耳,,100克,146
炒敏豆,,105克,78.2
咖啡伴侶,,100克,554
炒甜豆莢,,137.5克,103.5
炒鹿角萵苣,,105克,62.2
抹猛果,,100克,32
芝麻油[香油],,100克,898
奇異果：黃肉,1粒,,70.8
奇異果：綠肉,1粒,,68.4
奇異果汁,,125克,73.8
奇異果冰,,250克,267.5
奇異果冰砂,,295克,356.9
炒蛋附炒洋菇片,,161克,268.9
青梅果脯,,100克,308
芝麻籽,,100克,517
芝麻籽,,100克,531
咖啡厚片,,68克,216.2
芝麻香烤喜相逢,,103.8克,353.4
芝麻香辣醬,,160克,929.6
芝麻南糖,,100克,538
炒培根青江,,115克,97.4
芝麻桃酥,,100克,467
芝麻淋醬,,135克,658.8
炒甜椒,,105克,69.2
炒莧菜,,55克,54
咖啡飲料,1杯,,97.5
芝麻湯圓,1個,,360.2
芝麻喜餅,,119克,527.1
炒甜椒雞,,115克,165.5
炒雪裡紅,,105克,64.2
炒涼薯,,90克,43.5
芝麻醬秋葵,,158克,219.6
炒飯,,300克,550
青蛙,,100克,93
花菜,,125克,30
金筍,,100克,37
芥菜[雪裡紅，雪菜],,100克,24
芹菜：西洋芹,1碟,,6
芹菜小米粥,,302.5克,366
青椒土豆絲,,268克,285
咖喱土豆雞塊,,1284克,1914
招牌三明治,,133克,424.4
金絲小棗,,100克,294
爬景天,,100克,19
爬景天[石頭菜],,100克,19
咖喱牛肉,,1365克,1932
青椒牛肉絲,,146.7克,86.9
乳黃瓜,,100克,32
金絲瓜,,100克,37
果菜汁,1份,,60.2
乳黃瓜[嫩黃瓜],,100克,32
金絲瓜[裸瓣瓜],,100克,37
油菜仔油,1小匙,,44.2
兒童奶粉,,100克,457
兒童奶粉,,100克,427
兒童奶粉,,100克,458
兒童奶粉,,100克,451
兒童奶粉,,100克,407
炒絲瓜蛤蜊,,145克,86
青椒肉絲,,75克,98.7
泡菜肉絲鍋,,200克,253.2
炒菜豆,,53克,26.4
炒黃豆干,,40克,100.2
炒黃豆芽,,55克,54
芹菜豆乾,,245克,325.3
青菜豆腐肉片湯,,673.5克,184.3
青菜豆腐湯,,105克,84.2
泡椒油,,100克,258
芹菜炒干絲,,90克,111.9
青椒炒牛肉,,44克,50.5
泡菜拌牛肉,,86克,64.2
泡菜炒牛肉,,60克,51.8
芹菜炒目魚,,593克,589
青椒炒肉丁,,162.5克,216.3
油筍炒肉片,,116克,107.4
金菇炒肉絲,,283.3克,286.1
芹菜炒豆干,,95克,116.7
泡菜炒豆乾,,87.9克,181.7
泡菜油豆腐餃子,,94.5克,157.8
芹菜花枝,,75克,62.9
芹菜拌花生米,,250克,593
油揚炒青江,,114.8克,56
芹菜炒花枝,,147.5克,103.6
青椒肥腸,,72.8克,101.2
芹菜炒雞肝,,108.8克,111.8
青椒炒雞蛋,,427克,310
青椒胡蘿蔔炒肉絲,,320克,367
咖喱粉,,100克,415
芹菜莖,,100克,20
芥菜乾,,100克,141
芹菜甜不辣,,114.5克,172.4
招牌蛋餅,,163克,427
炒菇菇,,157.5克,108.2
芥菜湯,,52.5克,31.8
炒菠菜,,50克,31.5
花蛤蜊,,100克,45
兒童腸,,100克,290
芹菜葉,,100克,31
青蛙腿,,100克,79
芹菜鳳梨汁,,189.9克,108.2
招牌漢堡,,195克,440.7
芹菜蝦仁,,75克,66.3
芥菜頭,,100克,33
芥菜頭[大頭菜，水芥],,100克,33
泡菜鮮蔬拌飯,,470克,475.1
兒童營養餅乾,,100克,447
油菜薹,,100克,20
油菜薹[菜薹],,100克,20
招牌醬牛肉,,1125克,1351
青椒雞絲,,93.5克,75.4
芬達,,350毫升,115
青葙,1碟,,25
河蜆,,100克,47
青稞,,100克,339
乳酪[乾酪],,100克,328
河蜆[蜆子],,100克,47
炒腰子,,35克,75
乳酪奶油焗鱸魚排附水煮馬鈴薯,,420.9克,745
金塔寺瓜,,100克,9
油煎豆腐,,85克,73
青稞炒麵,,100克,356
乳酪乾,,100克,426
油煎蛋,,46克,85
乳酪蛋糕,1個,,196
花椰菜：青花菜,1碟,,31
油煎黃魚,,40克,99.2
炒葉萵苣,,55克,56
花腹鯖,,1兩,50.4
炒意麵,,385克,566
炒葫蘆瓜,,105克,64.2
花葉蘿蔔,,100克,43
油餅,,100克,399
波蜜一日蔬果100%蔬果汁,,400克,168
芡實米,,100克,144
芡實米[雞頭米],,100克,351
芡實米,,100克,144
炒銀芽,,85克,70.6
波蜜果菜汁,,470克,188
芙蓉炒蟹,,144.6克,135.9
青蒜香腸披薩,,90克,307.7
玫瑰香葡萄,,100克,50
玫瑰香葡萄酒,,100克,85
乳酸球,1個,,94.2
金槍魚,,100克,189
金槍魚,,100克,99
金槍魚沙拉小餅,,26克,34.4
武漢啤酒,,100克,19
玫瑰焗烤杏鮑菇,,40克,74.4
炒酸菜,,45克,21
炒榨菜肉絲,,100克,62.3
青辣椒鑲肉,,120.3克,99.6
芙蓉蝦仁,,347克,360
長壽養生料理餐,,164.7克,255.3
果寡糖,1個,,30
青蒜濃湯,,44克,94
芡實薏仁粥,,110克,337
乳酸鮮果凍飲,,150.1克,84
旺蝦,,100克,103
沼蝦,,100克,87
河蝦,,100克,87
芭樂[雞矢果，番桃],,100克,41
青箭口香糖,,21克,90
金獎白蘭地酒,,100克,226
炒豬血,,147.5克,73.8
花蓮豆,1個,,24.5
味噌里肌,,77.5克,197.1
明蝦沙拉,,154克,129.4
味噌豆腐湯,,100克,114.8
青蔬炒飯,,275克,453.7
味噌泡菜烏龍麵,,510克,1101.7
味噌美乃醬,,44.8克,207
金德春捲,,162.4克,139.7
味噌烤肉夾心御飯糰,,112克,255.4
味噌烤豆腐,,77.5克,69.8
味噌烤魚,,152.5克,221.1
金線魚,,210克,240
肯德基  金黃蛋燒餅,,155克,386
肯德基  紐奧良烤雞腿堡,,170克,358.7
肯德基 比士吉,,45克,152.1
肯德基 比利時可可蛋塔,,51克,208.6
肯德基 火腿蛋起司哈斯,,124.4克,280
肯德基 奶油玉米,,165克,157.7
肯德基 皮蛋瘦肉粥,,324.8克,347.5
肯德基 卡啦雞腿堡,,190克,492.1
肯德基 主廚燻雞燒餅,,120.6克,302.8
肯德基 西班牙香腸蛋餅捲,,134.8克,378.6
肯德基 肉鬆蛋餅捲,,99.8克,313.4
肯德基 明太子花枝捲,,107.6克,164.6
肯德基 花枝圈,,83.5克,184.5
肯德基 呼拉鮮蝦圈,,54.9克,110.9
肯德基 咕咕雞玉米漢堡,,163克,440
肯德基 香菇雞肉粥,,319.9克,227.1
肯德基 起司乒乓球,,58克,221
肯德基 起司夾心豬排堡,,219克,518.9
肯德基 脆皮雞翅,,75.5克,235.6
肯德基 脆皮雞排,,150克,361.5
肯德基 海鮮飯糰,,120克,384
肯德基 麥克雞塊,,85克,243.2
肯德基 培根蛋起司哈斯,,125.2克,359.3
肯德基 蛋塔,,50克,169.5
肯德基 寒天黃金柚綠,,355克,142
肯德基 黃金培根魚排堡,,178克,489.5
肯德基 黑糖麻糬蛋塔,,60克,218.2
肯德基 義式凱薩沙拉,,107.2克,158.6
肯德基 微氣泡芒果茶,,493.4克,172.7
肯德基 煙燻鮪魚起司哈斯,,102.5克,239.8
肯德基 辣雞翅,,72.8克,147.1
肯德基 歐式巧達粥,,330克,290.4
肯德基 墨西哥雞肉捲,,101.9克,176.3
肯德基 薯條,,83.5克,177.9
肯德基 總匯歐姆蛋燒餅,,168.2克,395.4
肯德基 薯餅,,55克,97.9
肯德基 雞米花,,77.5克,165.1
金線魚[紅三魚],,100克,101
青蔥蛋花湯,,30.5克,40
肯德基金黃雙薯蛋燒餅,,143.5克,302.8
疙瘩湯,,90克,143.1
味噌湯,,89克,159.8
味噌湯,,61.8克,66.7
阿膠棗,,100克,334
秈稻穀,,100克,344
阿膠豬肝,,98克,151.8
金蔥鮑魚粒炒飯,,275克,391.1
味噌鮮魚拉麵,,405克,507.5
味噌鮮魚湯麵,,235克,232.2
肯德雞,,100克,279
肯德雞[炸雞],,100克,279
肯德雞上校雞塊,6塊,,286
肯德雞玉米湯,1杯,,114
肯德雞炸雞,1塊,,278
肯德雞炸雞,1塊,,181
肯德雞炸雞,1塊,,257
味噌醬烤鱈魚,,121.4克,148.4
肯德雞薯條,1包,,205
花蓮糬,,35.7克,80
金橘,,100克,55
板蕉,,100克,109
金糕,,100克,177
芭蕉[甘蕉，板蕉，牙蕉],,100克,109
金橘[金棗],,100克,55
炒鴨肉麵,,197克,584.7
青燙花椰菜,,80克,18
炒蕃茄豆腐,,135克,127.6
花雕酒,,100克,124
金糕條,,100克,300
青鮐魚,,100克,155
青磚魚,,100克,155
金錢魚,果醬(草莓)1個,,
芥藍[甘藍菜，蓋藍菜],,100克,19
芥藍[甘藍菜、蓋籃菜],,100克,16
炒雞丁,,110克,124.5
油雞土從,,100克,635
炒雞心,,53.3克,117.1
芥藍牛肉,,185克,203
京醬牛肉炒醬,,35克,71.4
炒雙色,,100克,98
芥藍羊肉,,90克,126.4
炒雙色花椰,,105克,71.2
炒雞肝,,64.2克,133.8
京醬花枝雞肉燴飯,,297.5克,359.3
花鯽魚,,100克,117
金鯊魚翅,,100克,350
芥藍菜嬰,1碟,,26
炒雞腿菇,,107.5克,93.5
京醬雞絲,,35克,74.8
河蟹,,100克,103
芫爆肚絲,,282克,380
油爆蝦,,344克,411
波羅麵包,,100克,334
泥鰍,,100克,96
青蘑,,100克,14
長糯,1碗,,284.8
松蘑,,100克,112
松蘑,,100克,202
奇寶巧克力豆酥餅,,43克,150
秈糯米,,100克,352
青蘋果汁,1份,,44.8
金鰉魚,,100克,99
油麵筋,,100克,490
油麵筋炒青菜,,386克,438
炒蘆筍甜不辣,,185克,238.3
河鰻,,30克,73
花鰱魚,,100克,100
花鰱魚頭,,100克,100
青鱗魚,,100克,118
青蘿蔔,,100克,23
固體橘子飲料,,100克,391
波蘿雞丁,,123.5克,60.2
青鹽,,100克,11
柚,,100克,41
柿,,100克,71
姜,,100克,41
柚[文旦],,100克,41
姜[黃薑],,100克,41
姜,,100克,19
活力果汁凍飲,,555.3克,249.9
柳丁原汁,,248克,110
柳丁鳳梨汁,,305.2克,170.9
胖子,,100克,84
柚子：大白柚,1個,,97.5
柿子：紅柿,1粒,,49.5
柿子：柿餅,1個,,62.3
柿子：甜柿,1粒,,47.2
度小月擔仔麵,,175.4克,303.4
威士卡,,100克,252
香大米,,100克,346
紅小豆,,100克,309
紅土花生,1大匙,,46.3
紅三魚,,100克,101
保久優酪乳,1杯,,160.8
砂仁,,100克,208
紅心甘薯,,100克,99
紅元帥蘋果,,100克,59
香片茶包,1包,,0
扁月燒,,37.6克,147.5
炭火燒牛肉飯糰,,110克,234.3
炭火燒肉糯米飯糰,,204克,408
紅心蘿蔔,,100克,38
籽瓜,,100克,4
南瓜[倭瓜，番瓜],,100克,22
苦瓜[涼瓜，癩瓜],,100克,19
苦瓜：小苦瓜,1碟,,24
苦瓜：珍珠苦瓜,1,,碟
南瓜子仁,,100克,566
紅皮山芋,,100克,104
苦瓜小魚,,145.2克,55
食用大黃,,100克,6
南瓜牛肉湯,,199克,322.6
茄汁牛肉湯餃,,120克,651
茄汁牛腩,,70克,198.4
苦瓜汁,,699.8克,300.9
南瓜布丁,,132.5克,133
茄汁玉米蛋,,80克,83.5
茄汁玉米筍丁,,65克,91
紅旦旦蘿蔔,,100克,17
南瓜沙拉,,197克,220.5
苦瓜沙拉,,40克,131.2
南瓜油,1小匙,,44.2
食用油,,100克,899
南瓜炒百合,,88.3克,87.6
南瓜咖哩海鮮,,414.9克,668
南瓜拌高麗菜,,104.2克,57
南瓜果脯,,100克,336
茄汁炒飯,,335.5克,471
苦瓜盅,,115克,54.3
茄汁紅白蘿蔔球,,177.5克,57.3
南瓜粉,,100克,320
茄汁蛋包飯,,325克,426.4
茄汁蛋炒飯,,375.5克,531
胡瓜湯,,250克,3
苦瓜湯,,50克,9
南瓜飯,,105克,211.7
南瓜粥,,407.4克,835.3
南瓜銀耳羹,,160克,203
茄汁蝦仁,1個,,127.2
茄汁豬排,,85克,114
茄汁豬排吐司,,110克,282
紅奶漿菌,,100克,13
紅奶漿菌[多汁乳菇、穀熟菌],,100克,13
南瓜濃湯,,531.2克,267.2
軍用壓縮餅乾,,100克,457
苦瓜雞湯,,85克,84.8
茄汁雙椒鯛魚片,,80克,91.7
南瓜藤,,100克,22
苦瓜蟹肉,,165克,402.6
茄汁鯧魚,,544克,922
茄汁鯛魚片,,120克,137.4
茄汁羅勒吉利豬排,,344克,677.8
香玉蘋果,,100克,59
紅玉蘋果,,100克,43
茄汁麵疙瘩,,70克,78
紅皮蘿蔔,,100克,15
紅白蘿蔔肉羹,,470克,585.1
食用鹽,,100克,11
苦瓜鑲肉,,103.8克,91.2
苡米,,100克,357
扁尖,,100克,19
美式咖啡,,240克,0
炸百頁豆腐,,86.2克,259.8
香妃酥,,42.1克,211.8
扁豆[月亮菜],,100克,37
眉豆[飯豇豆],,100克,320
紅豆：糖漬,1份,,150.8
香杏丁蘑,,100克,207
苦豆子,,100克,212
枸杞子,,100克,258
指形小西餅15克,,8.7克,23.4
枸杞山藥湯,,50克,43
郁李仁,,100克,484
香杏片口蘑,,100克,207
香芒牛柳,,347克,361
紅豆水饅頭,,34.1克,124.2
哇沙米香腸,,50克,145.5
洋芋肉絲捲,,108克,196
枸杞拌炒高麗菜,,150.5克,242.3
枸杞厚蛋,,167.8克,234.9
枸杞茶,1缶,,43.2
枸杞海蔘,,105克,72.1
枸杞素雞湯,,20克,41
枸杞酒釀湯圓,,114克,266.9
香豆乾,,100克,140
紅肖梨,,100克,30
紅豆球,1個,,69.6
香芋甜心,,100克,280
指形蛋糕,,49.4克,138.7
紅豆麻糬飯糰,,81克,264.9
紅豆甜麵包60克,,73.6克,274.5
枸杞菜,,100克,44
紅豆湯,1個,,72
枸杞菜[枸杞，地骨],,100克,44
枸杞葫蘆瓜燴文蛤,,85克,74.9
炸豆腐,,152.5克,387.5
紅豆餅,,53.8克,168.5
咸沙蔥,,100克,25
紅豆糊,1個,,402
咸沙蔥[蒙古韭],,100克,25
紅豆蓮子粥,,260克,832
香芋養生油飯,,122.5克,344.4
枸杞豬肝蛋花湯,,203.8克,97.7
洋芋蝦鬆,,240克,246.9
紅豆餡蜜紅豆,,86克,156.8
洋芋燒雞,,143.2克,116.2
紅豆薏仁湯,,220克,70.4
扁豆鮮蝦塔,,350克,563.5
紅豆鹹粽,,79.5克,294.3
紅果,,100克,95
美芹,,100克,12
韭芽,,100克,22
香果,,100克,38
春卷,,100克,463
紅花,,100克,220
紅果[山裡紅，大山楂],,100克,95
春卷,,100克,182
紅果,,100克,152
胡枝子,,100克,117
胡枝子[山豆子],,100克,117
美味小吃蚵仔煎,1盤,,388
紅花子油,,5克,45
美味牛肚,,30克,32.7
美味牛肝菌,,100克,32
美味水果沙拉,,165克,163
紅果汁,,100克,157
胚芽米果,1個,,49.5
紅花豆：甘納豆,1份,,181.9
紅花豆：糖漬,1碟,,81.2
美味沙茶豬肉燴飯,,277克,431.8
美味豆豉鮮蚵,,107.5克,104.9
香芹豆腐湯,,151克,129.9
紅花油,,100克,899
炸花枝丸,,62.5克,111.2
紅油炒手,,349.5克,737.4
美味虱目魚粥,,230克,348
美芹炒百合,,715克,519
美味咕咾肉,,113克,77.3
炸花枝圈,,80克,169.2
炸花枝酥,,70克,118.9
香油炒麵,,100克,407
紅花籽油,1小匙,,44.2
紅油南乳醬,,42克,103.3
美味春捲,,113克,188.3
美味香酥卷,,100克,368
昭和草,1碟,,26
美味素肉燥,,21克,103.1
美味海鮮炒飯,,265克,527.6
香芫荽,1碟,,23
香芹魚片,,154.8克,244.6
美味蚵仔粥,,265克,434.1
茄味培根乳酪飯,,331克,546.1
美味培根堡,,97.5克,270.8
炸芝麻魚,,133克,408.2
美味甜辣醬,1個,,11.5
美味涼麵,,238.5克,374.4
美味絲瓜湯,,102.5克,39.3
風味菠菜米粉捲,,183克,197.6
紅果腸,,100克,260
美味辣豆瓣醬,1個,,10
美味鳳味,,130.1克,70.2
美味滷蛋,,121.7克,83.8
紅玫瑰葡萄,,100克,37
美味蒜蓉醬,1個,,27.9
香油辣醬,,100克,54
美味滷雞腿,,60克,85.8
美味蝦仁炒飯,,360克,415.3
韭味蝦河,,120克,174.8
春明錦秀年歲有餘,,416克,644.8
韭花醬,1個,,2.9
韭苔,,100克,33
品客 Pringles,,190克,1072
品客 Pringles,,190克,900
紅面正番鴨,,1兩,85.1
南星粉,,100克,37
茄紅素冰砂,,191克,128
茄香海參,,185克,92.2
苦苣菜,,100克,29
苦苦菜,,100克,38
皇冠菜,1碟,,40
苦苣菜[苦菜、天精菜],,100克,29
紅面番鴨蛋,1粒,,118.8
炸香腸,,35克,128
紅柚楊桃釀,,570克,189.8
炸洋蔥圈,1份,,200
炸厚豬排,,162克,423.8
紅砂糖,1大匙,,38.5
娃娃頭,,100克,215
紅香蕉蘋果,,100克,49
紅星蘋果,,100克,57
津津蘆筍汁,,250毫升,90
苦茶,1缶,,28.8
珍珠丸,1個,,152.6
珍珠丸子,,332克,1424
客家小炒,,116.9克,261.9
胡桃仁,,100克,686
炸素方,,59.8克,166.5
活益比菲多小Q瓶原味,,110克,50.6
紅茶元寶,,397克,1171.1
紅粉皮石榴,,100克,64
珍珠奶茶,,315克,286.6
香根皮蛋,,80克,116.5
珍珠白蘑,,100克,212
珈哩肉丁,,134克,171.7
珍珠西米露,,495.1克,376.3
客家米粉,,142克,227.2
苦茶油,1小匙,,44.1
客家炒麵,,279.5克,433.7
苦茶油麵線,,105克,297
香草風味菲力牛排,,52克,140.4
洛神茶,1缶,,158.4
炭烤起士三明治,,155克,511.4
炭烤酒香蛤蜊,,35克,57.1
客家粄粽,,115.8克,351.9
珍珠拿鐵,,124.1克,157.6
紅娘魚,,100克,105
紅娘魚[翼紅娘魚],,100克,105
紅酒雪梨,,702克,614
紅茶甜甜圈,,99.5克,368.1
香根乾絲,,82.2克,143.6
珍珠裡脊絲,,100克,225
紅酒滷牛腱,,200克,64.5
炸素蝦,,100克,576
美容養顏營養早餐,,382克,408
苦茶糖,1個,,117.9
紅酒燉牛肉,,57.5克,105.6
紅茶貓舌餅,,149克,247.3
活氧蕃茄炒三鮮,,410克,377.2
香海螺,,100克,163
紅酒燴牛肉,,255.7克,449
珍珠鮮奶茶,,300克,357.6
香脆薯條,1碟,,147
洛神優酪乳,,51.8克,38.4
苔條,,100克,148
香梨,,100克,46
紅莧,,100克,31
春捲,,238克,392.9
洋莓,,100克,30
哈密瓜牛奶,,435克,161.4
扁魚白菜滷,,188.8克,58.7
哈密瓜蜂王乳,,230.1克,149.6
哈密瓜優格凍飲,,217.2克,171.6
哈密瓜優酪乳,,339.8克,224.3
香甜地瓜飯,,77.5克,213.9
保健油,1小匙,,44.2
茉莉花茶,1缶,,70
美國芹菜炒帶子,,157克,150.8
胡麻籽,,100克,390
炸排骨,1塊,,87.8
香雪酒,,100克,37
炸排粉,1份,,34.1
香梭魚,,100克,145
美雪啤酒,,100克,34
香豉涼麵,,205克,311.4
風乾腸,,100克,283
厚蛋燒握壽司,,76克,188.5
咸魚雞粒炒飯,,389.5克,611.5
香甜蘋果派,,124.4克,250.5
春筍,,100克,20
苦菜,,100克,29
香菜[芫荽],,100克,31
韭黃[韭芽],,100克,22
香菇[香蕈，冬菇],,100克,19
苦菜[節節花，拒馬菜],,100克,35
苔菜,,100克,148
香菇小白菜,,137.9克,33.5
香酥三角盒,,142克,309.5
紅提子葡萄,,100克,52
紅富士蘋果,,100克,45
香菇片,,100克,316
香菇片扒青江,,162克,68
韭黃牛肉,,167.5克,200.7
紅景天飲料,,100克,33
珍菇水餃,1份,,297.6
香酥牛蒡手卷,,104克,220.5
秋黃瓜,,100克,12
秋黃瓜[早黃瓜],,100克,12
香菇甘露煮,,198克,362.3
韭菜合子,,100克,211.1
韭菜肉末拌麵,,266.5克,314.2
香菇豆腐,,436克,491
香菇豆腐湯,,90克,40.4
香菜拌木耳,,40克,57.4
韭黃炒牛肉絲,,90克,48.9
紅棗花生牛奶湯,,269.9克,369.8
韭菜炒豆芽,,98克,40.5
韭菜花枝,,190克,225
韭菜花炒白豆乾,,86.2克,145.2
韭菜花炒皮蛋,,119克,133.5
韭菜花炒豆干,,75克,90
韭菜花炒花枝,,97.5克,101
韭菜花炒甜不辣,,72.5克,107
韭菜花炒豬血糕,,85克,118.5
香菇炒蛋,,80克,83.1
韭菜炒蛋,,90克,130.4
香菇油菜,,372克,167
香菇青菜湯,,82.7克,26
香菜拌雲絲,,162克,244
韭菜炒豬血,,325克,113
香菇韭菜花,,105克,78.2
香菇貢丸,,62克,116.5
香菇魚片粥,,255克,157.3
韭菜清江炒豆干,,115克,96.6
香酥排骨飯,,312.2克,576.5
香酥魚捲,1個,,63
香菇湯,,50克,20
韭菜黃,1碟,,17
韭菜粥,,406.5克,776.4
活菌發酵乳,1缶,,153.6
秋蛤蜊,,100克,89
韭菜煎豆腐,,113.8克,166.3
胡椒餅,,65克,207.9
香菇餃,1盤,,69.3
胡椒蝦,,58.9克,62.7
紅棗蓮子銀耳湯,,175克,474.2
紅棗豬心湯,,50克,78
韭菜豬肉湯,,37.5克,27
韭菜魷魚鬚,,65克,31.2
香酥蝦餅,1個,,75.6
香筍鮪魚,1個,,90.6
紅菜薹,,100克,41
紅菜薹[紫菜薹],,100克,41
香菇雞肉水餃,1份,,350.4
香菇雞湯,,50克,39.2
紅棗蘋果美容湯,,186克,277.1
香菇麵筋,1個,,53.5
洋菇罐頭,1碟,,3.4
香椿[香椿芽],,100克,47
秋葵[黃秋葵，羊角豆],,100克,37
秋葵[黃秋葵、羊角豆],,100克,16
香圓八寶羹,,164克,149.2
香煎肉魚,,57.5克,126.1
香煎豆腐,,75克,80
香煎豆腐餅,,121.2克,206.9
香椿炒飯,,320克,486.4
柿葉茶,,100克,286
香蜂草果汁,,50克,48.5
香煎魚片,,40克,107.2
契達乾酪,,100克,261
契達乾酪,,100克,412
紅葡萄酒,,100克,92
飛廉葉,,100克,35
香腸煲飯,,230克,488.6
秋裡蒙蘋果,,100克,35
美極鮮味露,1個,,8.1
香煎雞排,,75克,155
香煎饅頭,,61.5克,200
香蒲,,100克,12
柿餅,,100克,187.9
茅臺,,100克,317
香榧,,100克,618
飛碟瓜,,100克,13
洋槐花,,100克,78
紅腐乳,,100克,151
香辣炒蟹腳,,57克,149.3
香辣紅燒魚,,37克,39.5
香辣海帶絲,,623克,676
香辣高麗菜,,152.5克,58
扁蓄菜,,100克,71
扁蓄菜[竹節草],,100克,71
香辣黃瓜,,120克,50.4
紅辣椒油,,100克,900
香辣煎豆腐,,80克,70.4
香辣滷豬耳朵,,24克,60.5
香蒜燜田雞,,360克,594
香辣蟹,,73.8克,89.6
炸蝦,,100克,224
苜蓿,,100克,60
食醋,,100克,31
香樁,1碟,,9.9
香蔥,,100克,21
苜蓿[草頭，金花菜],,100克,60
苜蓿[草頭、金花菜],,100克,32
洋蔥[蔥頭],,100克,39
洋蔥牛肉蔥抓餅,,82.5克,162.5
洋蔥牛排吐司,,177.5克,368.7
香蔥肉燥炒牛肉,,121.2克,121.5
相模角蝦,1個,,22.2
苜蓿芽吐司,,97.5克,178.2
洋蔥花枝,,93.5克,65.2
苜蓿芽果汁,,495.1克,277.2
洋蔥炒苦瓜,,462克,195
洋蔥炒蛋,,110克,142.8
苜蓿芽捲,,189克,243.7
洋蔥炒豬肝,,110克,91.9
香醋拌麵,,131.9克,376
洋蔥炒鱔絲,,403克,424
苜蓿籽,,100克,334
苜蓿籽[紫苜蓿籽],,100克,334
洋蔥烤蛋,,143.8克,116.4
洋蔥圈,,100克,278
洋蔥湯,,160克,363.3
洋蔥壽喜牛,,90.8克,50.3
洋蔥豬排,,90克,155
洋蔥豬排吐司,,110克,282
洋蔥燉牛肉,,152.7克,284.3
香蔥雞蛋餅,,42.5克,93.4
香魯雞腿,,40克,57.2
洋蔥麵包醬,1個,,27.4
炸糕,,100克,280
紅燒?魚,,883克,1286
香蕉[甘蕉],,100克,91
香蕉：8月,1個,,48.8
柳橙：柳丁,1粒,,74.8
柑橘：茂谷甜柑,1粒,,72
柑橘：桶柑,1粒,,81
柑橘：椪柑,1粒,,79.2
香蕉牛奶,,310克,178.9
香蕉牛奶冰,,146.5克,211
紅燒牛肉,,88克,38.2
紅燒牛肉速食麵,,100克,447
紅燒牛肉湯,,116.7克,142.9
